Subfolder,Dice Mean
195,0.7758319964484564
179,0.773722216565773
186,0.7688757089710739
198,0.7678305781076824
197,0.7667839429365894
188,0.7653074939414938
181,0.7649671690804617
175,0.764353287283075
182,0.7642602570473201
185,0.7621207246704708
199,0.761271719894712
192,0.7610175130228517
196,0.7605818462750268
191,0.7604627552486601
194,0.7601405107785785
176,0.75915246066593
183,0.7590861667400947
184,0.7586140774545216
190,0.7579520458266849
168,0.7578636798909102
177,0.7560801465044578
189,0.7558355205273501
156,0.7552095419830747
174,0.754471100512005
159,0.7539579549794475
193,0.7533491666985568
164,0.7531340336673473
180,0.7530400822402308
187,0.7526293712318259
178,0.7512015656188683
139,0.7511000992759825
173,0.7505018165502599
165,0.749729090582126
169,0.7496713472421839
171,0.7492463222887149
145,0.7489092736332505
150,0.7480628436835354
166,0.7477406657562055
167,0.747712859716365
154,0.7471592965580168
153,0.7469656215142951
172,0.7437794741499361
138,0.743764380771647
157,0.7434083847772508
162,0.7422557312344747
135,0.7419876462568051
128,0.7419174010791475
158,0.7418513134043052
147,0.7411439276876903
170,0.7410023174588642
163,0.7401226620194774
109,0.7398799227343666
142,0.7398302714345317
160,0.7397706593785967
131,0.7386094781141432
148,0.7373602402904047
133,0.7368587424200048
144,0.7363548387610723
152,0.7356033147012115
124,0.7351812352894475
114,0.7346386561002681
161,0.7339908934774853
115,0.7337272875208073
125,0.7337052806344612
129,0.7330508165889316
155,0.7307009223907712
132,0.7305663871386694
117,0.7300102005875301
143,0.7293799910595808
146,0.7286100445916414
136,0.7285629671717447
140,0.7279780317866612
122,0.7265675580375409
110,0.7265613124799476
141,0.726481144390409
127,0.7262627892393284
121,0.7259163309342016
149,0.7252560395096975
134,0.7248264883876477
119,0.7247141456162488
151,0.7242407174337477
137,0.7237963651223158
130,0.7235283933619342
116,0.7229434877791733
123,0.722406148595154
111,0.7222804606906952
112,0.7222629287255503
93,0.7217812416730104
98,0.7217700385227405
99,0.7208737319424039
113,0.7202585134556685
106,0.7197335094371171
120,0.7188403101825209
105,0.7177971294001928
101,0.7164829447471275
104,0.715551934387318
126,0.7152914477403833
96,0.714669648617033
108,0.7142578413877537
94,0.7140820603522043
92,0.714020007974887
81,0.712280495772286
89,0.7118734269545822
72,0.7115554033763825
107,0.7113602349051722
102,0.7113282142808197
100,0.7108201569034939
77,0.7092243573337635
95,0.7082345979238943
118,0.7076306801939768
68,0.7047133977135653
88,0.7044475193692263
78,0.7043052638964677
103,0.704161515784642
86,0.7039062254643313
66,0.7022951678939597
85,0.7019948503643118
82,0.701879497242983
90,0.7017961603308481
67,0.7009362214141421
80,0.7005410164436966
76,0.7003628365577212
74,0.6995538846840934
87,0.6976841066880201
58,0.6954831480979919
83,0.694725630459962
73,0.693800305563306
91,0.6936762441718389
56,0.6931800582106151
59,0.6931160469219166
65,0.6902030469879272
79,0.6900796622195572
69,0.6900429919598594
57,0.6900415352728001
75,0.6887619757147694
97,0.6867053920314425
84,0.6859980585083129
61,0.6835500848671746
62,0.6820437715797829
54,0.6816871502096692
63,0.6773463025610282
71,0.6762326903759487
64,0.6743866738188203
70,0.6738827834053646
60,0.6708829183742482
55,0.6707419346249293
50,0.6705014026038861
47,0.6682987826526481
52,0.667526683006337
51,0.6651354526716565
49,0.6639495074118256
53,0.6604206524198016
42,0.6600271742495278
44,0.6597101782995557
43,0.6551543072102561
45,0.6546443823784117
48,0.6535029165328495
40,0.6520609844613958
46,0.651461962827299
38,0.6433966937203887
39,0.6423224595488695
41,0.639114909544193
29,0.6193077457014214
32,0.6145377621133491
35,0.6121622664587838
33,0.6115578723647608
37,0.6111587647092405
28,0.6068354460297438
30,0.6060140785716829
22,0.6033055738166526
36,0.6013458506770866
23,0.599691301741928
21,0.5975497158431502
25,0.5974426723661876
31,0.5965823832327727
34,0.5952923621134782
18,0.5927250345863362
26,0.5926911245893548
27,0.5914868045420874
24,0.5901977881868049
17,0.5896834530842997
15,0.5824720531544357
20,0.5814855541817096
19,0.5803558112136901
16,0.5794342617509227
13,0.578600018270432
14,0.5775617186039212
12,0.5551421501964487
11,0.5513066176384214
10,0.5476796122455092
9,0.5132500940845126
7,0.5064485893047675
4,0.5047593485741388
8,0.5042369562797445
6,0.5041029961020859
2,0.5002900669499049
0,0.49133442444776093
3,0.4912211619041584
5,0.49113628252473457
1,0.49109833407654335
